,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
36440,S1897,pojun51777,59.0,458302.1,629477.6,ERANGEL,2U4GBNA0YmmZbBnzhd9MFivTCPNOBL_E284ktWGaOq18A9lpNRsGcmIKkom3YZAY,94,carrillo40,88.0,458867.1,629456.2
9371,Micro UZI,fwi_toma,18.0,166772.5,278202.0,ERANGEL,2U4GBNA0YmmkSI66uqmO1tdpb1le9dHphK-SEiVW9bCyMMsUkK6vQnphP5b0whsE,179,TangySauce,19.0,166788.5,278464.4
41074,SCAR-L,UWillFly,6.0,433618.6,442362.5,ERANGEL,2U4GBNA0YmnqFNZ_FpYFHMrcA-o73FN3k_v7ozkpjNb8sOwDtXUWg8E2FEDmoRwq,918,Callme_Leishao,8.0,0.0,0.0
14132,UMP9,FFFGrandfather,61.0,336623.9,158319.4,ERANGEL,2U4GBNA0Ymm5qeYgfPjfrDu8dTPeziFuzLx8R5t9iIKdyjXlEB46IaYTnopOnDXZ,279,ClarkFrozer,62.0,341028.2,155958.3
1676,M16A4,Finn310,19.0,466334.5,639743.1,ERANGEL,2U4GBNA0YmnZ4vJC-aEUY9riuYVJgtIdnp017vKbMe8pVLHPO6SzRFJO7xtISNWh,170,UnoJB,26.0,466063.7,640997.9
31168,SKS,Lewis_MaSa,1.0,293680.0,365701.5,ERANGEL,2U4GBNA0YmlygT9oD8PqE3yPNUl2B5Mpnu53e6kKq0ECr2UNFx3i5QKxUAf-mTpK,1621,string999,4.0,288925.7,383026.8
24475,AKM,SasquatchMilitia,6.0,548624.8,256363.3,ERANGEL,2U4GBNA0Ymk55vrK_Il-hfv_rV4MVhdpBbOct2ox2OzqpXar7A6-lQNpvMq4ra4C,1468,Yan8886668,7.0,552379.2,253507.3
49866,Bluezone,,,,,ERANGEL,2U4GBNA0YmnqHyYX-RZ4ZAPKPf5K-DhzQdUa8kjVUECzZ5jOdZkTNx2ayN-yNhMF,868,Dilrajing,50.0,0.0,0.0
1152,SCAR-L,Toronto_JackMa,1.0,332487.8,520101.4,ERANGEL,2U4GBNA0YmnmvI29GR080nJ5U4oZyrJ2kJqz7BeQrwDdx68BbncOZ_5DnysRn2Ca,1687,CutMeng,,310586.4,518933.4
5480,SCAR-L,tianyu558,3.0,532497.9,245059.3,ERANGEL,2U4GBNA0YmkjhaUwplfoVLqul92VDhKXl5hULS1OLwDPJPtzmWvIE1EcsGKKaBhu,396,TVolk,30.0,532120.0,246101.5
43958,M16A4,cowdecal,17.0,346458.8,471479.2,ERANGEL,2U4GBNA0YmnmqLbO-rvtVh8yotWWr6qPegyMqykNyg8_HeNUJE4HzoKyIbt8229D,475,Letme666,54.0,371245.3,465403.2
28498,M416,Duriholic,15.0,514332.9,499891.8,ERANGEL,2U4GBNA0Ymmi_1k_lUvbhD3G8fnKIoQJ5ErKTInrwaF5q0PDcQrv4ChWl0eSygsO,126,sunsmile233,46.0,510593.6,500564.5
52721,M416,CrazyRay123456,1.0,495778.6,444937.3,ERANGEL,2U4GBNA0Ymm3M_jK9rXWdiLbZ7Biifl1JjvVZ9uLbGdWB6E0s1jQn0j5-7-XmQUI,2041,FalseJ,2.0,493156.6,445230.7
5030,M416,fengxifengxu,1.0,303214.4,542512.4,ERANGEL,2U4GBNA0YmkouKU7rw6brk7uZamG1dICaLOLV9MMRULojV9v1Y0ApEjG8568AzL-,1417,FLYMADDOG,9.0,301979.6,541616.1
53169,M416,SuperSketche,26.0,238807.9,322084.7,ERANGEL,2U4GBNA0YmlkUMfOuRO-CmQf0eGKBE3S0yfLSVzQamry9W5Eek9W7NgWGPUJ3jzY,1103,zhaogenidie,29.0,243862.5,321392.8
25620,Bluezone,,,,,ERANGEL,2U4GBNA0Yml2e30mmjX4OTxfitkN3bEQhRLUOu_GSZ0vyvqV1bLIZFPY3ub6RwYK,1640,antilobungazabi,4.0,511152.9,451641.7
16117,P18C,Paullarocque,28.0,567985.2,350661.6,ERANGEL,2U4GBNA0YmmBCcS-UPptwrYgSDS-f3ZQVLfTiODaWOSWVw7O-QmFEKOuFfK_s51Z,588,MissChen8,26.0,564344.1,351678.3
