,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
4482,AKM,JDXF-LaoM,1.0,186100.3,526168.0,MIRAMAR,2U4GBNA0Ymmc9iQSXPdXmsArOhTIR61JwcNH4n6Z2nEAsPYw5VWoAVcAEkqWJV2_,1490.0,Tianchi_Z,10.0,188517.7,524548.3
3145,Mini 14,Hugh_Jabrest,3.0,443178.9,568219.8,ERANGEL,2U4GBNA0YmldsmcWI8PBcmvfdJUtUv9LuMt1MAUqG9aDvVtzvPIGelkR4_3xjGY3,1763.0,JZTHH,6.0,444247.2,564165.7
3994,Vector,Phosphite,14.0,409332.8,283739.0,ERANGEL,2U4GBNA0YmnnTkwTvduuDTvxNFqqQQfOkAdwyDSBGA2B0OZqDWkOL5hIt84vmDgN,288.0,dashuangye,45.0,409285.4,283626.2
3746,Down and Out,tiannima99,2.0,322772.9,235228.9,ERANGEL,2U4GBNA0Ymmqi6D7r12UG8ati2jqy4CV05j9y-WqN6DaTb3ViX7zAkhxTGYUWzF3,1766.0,Miyazono__Kaori,4.0,331006.0,232175.0
822,S686,Oaixx,23.0,603121.8,600237.1,ERANGEL,2U4GBNA0YmmEUK5MTLyr6AfVvoPX1txbeD-jND4VXYtMmoXuatMBzW67F6i6TzwI,114.0,erdawdasd,16.0,603030.8,600117.4
1826,Dacia,UnknownStranger,4.0,670747.3,450788.8,ERANGEL,2U4GBNA0Ymmj5ChhNizFBQNzal-aacFtZr3MhwiNw8qBDJBRobgDHZqOnyiohGR6,1408.0,pace97,12.0,666385.8,453161.6
2490,Bluezone,,,,,ERANGEL,2U4GBNA0Yml5t9opndGwDeKjNoARfVrCVQIWxSji9WqktJfXvvA7eZryQpYWuuxM,1651.0,Magvipers,5.0,276548.3,503056.5
2600,Bluezone,,,,,ERANGEL,2U4GBNA0YmlrMGbGieGLnoMfRvnSTMDi_db1WhYrVEfERMho7tIvimp3SZVIvxft,1662.0,Yourboynasty,7.0,539535.9,208086.4
3729,Tommy Gun,JieLeee,25.0,327746.6,354671.2,MIRAMAR,2U4GBNA0Yml0XDizIVK4IxDWB75tIG-FBMzmyEP_fBUj1UAIBJN9VCG7X49NaJ0W,98.0,B8bb60,27.0,329643.3,356153.9
6088,M16A4,JIOKER1,6.0,357975.7,182835.4,ERANGEL,2U4GBNA0Yml6y7HS5CbbbGNCVA8W-Eq9itS5ANu7VhQLdw36LQo9OXoLiY9pzymO,472.0,GuaishouS,32.0,345806.7,170520.6
108,Kar98k,651651646,1.0,434681.4,281067.1,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,600.0,PiPiGoat,12.0,367543.2,249424.8
