,Unnamed: 0,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y,winner,rating_group
3408,5527,M16A4,Sweggles102,1.0,304307.0,298144.2,ERANGEL,2U4GBNA0YmnTdCV0yjZ9FJT5KTQXu_J-mDD7JVI77_afKJCjBGNcQH8tMVM5wf0m,1857.0,KingJeffery,2.0,309267.0,311204.5,True,1
3486,1936,SCAR-L,makexun,1.0,394643.9,137444.7,ERANGEL,2U4GBNA0YmkJt4dyUUT94MOYESuKm2MQu1eh08EFdbeeGClsVzdp38FeLRv2PSVm,1924.0,BBC1901,2.0,395013.9,137460.9,True,1
3488,4264,Groza,kava11,20.0,539239.6,470667.9,ERANGEL,2U4GBNA0Ymllc_6Eh-c0jqGSW3HCKj_KixPEGv3zEg-XsZyUhbwtCWd6i-fPN7ag,1275.0,Nimust,2.0,537893.7,471734.3,True,1
3522,6059,Down and Out,Nicolas6Neng,1.0,641143.5,197712.5,ERANGEL,2U4GBNA0Yml6y7HS5CbbbGNCVA8W-Eq9itS5ANu7VhQLdw36LQo9OXoLiY9pzymO,1843.0,Autopay,2.0,641684.6,194129.1,True,1
3601,5730,SKS,Nilookat,1.0,105357.2,380079.3,MIRAMAR,2U4GBNA0Ymnp7WwAto9g2slLUaiBKUFaPfS2cP7mxfvB4zSMybPXSCofOEAgrxRI,1807.0,AsTW,2.0,105530.5,373952.6,True,1
3643,162,Mk14,651651646,1.0,409258.6,349923.0,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,1231.0,Arthur_qingge,2.0,490124.9,345535.1,True,1
3705,2369,M16A4,KoyPuppy,1.0,245951.7,163856.6,ERANGEL,2U4GBNA0YmlJIox1N8PDEThbIPyVEba0Ywk6cuKmN66lbkfGJorIBmPhthkJwbX0,1992.0,40BURGER,2.0,244757.2,163100.4,True,1
3709,4778,Grenade,fary2,1.0,362489.1,615673.0,ERANGEL,2U4GBNA0YmnNaxE1IF0R8b5H-SePLyeMyyIrtEPySH7IYKSofTRFs441FMT93y3K,1569.0,TLHHoang,2.0,361075.7,608907.7,True,1
3712,951,Kar98k,shazhougongjin,1.0,725959.8,412450.9,ERANGEL,2U4GBNA0YmnXxPYMxq8uh3IZ_R74uPmFVfhHlxf6M3-PzRx-7ICrxPIahHemHE6H,1625.0,SeanYLH99,2.0,726665.3,422532.1,True,1
3793,1094,M416,Toronto_Edision,1.0,319130.5,509496.2,ERANGEL,2U4GBNA0YmnmvI29GR080nJ5U4oZyrJ2kJqz7BeQrwDdx68BbncOZ_5DnysRn2Ca,1767.0,ImSakamoto,2.0,321437.3,512725.9,True,1
